Word;lexema;Tristeza;Miedo;Alegria;Ira;Asco
ábaco;;1,2;1,2;1,45;1,29;1
abad;;1,35;1,56;1,71;1,24;2,23
abadesa;;1,64;1,4;1,36;1,69;1,33
aguamarina		1,05	1,1	3	1	1,05
aguanieve		1,3	1,1	2,27	1,03	1
aguantar		2,05	2	1,7	2,7	1,5
aguante		1,7	1,42	2	1,85	1,55
aguardar		1,55	1,3	1,5	1,35	1,6
aguardiente		1,37	1,5	2,17	1,27	2,43
agudeza		1,15	1,25	2,58	1,45	1,05
agudo		1,4	1,73	1,53	1,57	1,37
aguijón		1,64	3,75	1,04	2,39	2,75
águila		1,13	2,27	2,07	1,3	1,37
aguilucho		1,6	1,78	2,11	1,26	1,72
aguja		1,37	2,17	1,13	1,5	1,6
agujero		1,45	2,25	2,05	1,6	1,95
ahijada		1,1	1	2,78	1	1,1
ahijado		1,4	1	2,89	1,2	1,05
ahínco		1,4	1,21	2,4	1,88	1,15
ahogar		3,6	4,37	1	3,2	1,97
ahogarse		3,43	4,57	1,03	2,23	1,47
ahogo		3,45	3,6	1,1	2,85	2,55
ahondar		1,56	1,71	1,82	1,69	1,2
ahora		1,35	1,4	2,4	1,25	1,25
ahorcar		3,66	3,97	1,03	3,83	3,03
ahorra		1,3	1,3	2,75	1,35	1,35
ahorrar		1,37	1,23	2,53	1,17	1,07
ahorro		1,75	1,5	3,6	1,3	1,35
ahuyentar		1,6	2	1,47	2,25	1,65
aire		1,13	1,1	2,87	1,13	1,1
airoso		1,3	1,4	2,68	1,63	1,56
aislamiento		3,77	4	1,1	2,37	1,83
aislante		1,65	1,55	1,55	1,68	1,45
aislar		3,37	2,9	1,15	2,1	2,65
ajedrez		1,47	1,27	2,1	1,47	1,03
ajeno		1,4	1,8	1,65	1,8	1,45
ajo		1,45	1,15	1,75	1,75	1,95
ajuar		1,38	1,2	1,64	1,3	1,23
ajustar		1,25	1,35	1,8	1,3	1,25
ajuste		1,25	1,58	1,95	1,2	1,1
ala		1,1	1,25	2,58	1,15	1,05
alabado		1,22	1,3	1,95	1,68	1,68
alabanza		1,65	1,15	3,47	1,3	1,5
alabar		1,3	1,43	3,43	1,33	1,47
alacena		1	1,14	1,62	1,27	1,62
alado		1	1,14	2,53	1	1,27
alambrada		2,2	2,03	1,2	1,93	1,53
alambrado		2,25	1,95	1,42	2,1	1,68
alambre		1,67	1,83	1,17	1,4	1,23
álamo		1,12	1,05	1,84	1,18	1,16
alar		1,33	1,15	1,55	1,14	1,25
alarde		1,5	1,71	1,63	2,5	1,64
alargar		1,4	1,3	2,55	1,55	1,3
alarido		2,47	2,76	1,41	1,93	2
alarma		1,86	3,23	1,45	2,34	1,48
alarmante		2,4	3,25	1,2	2,4	1,9
alarmar		1,77	3,77	1,37	1,9	1,23
alas		1,05	1,2	2,75	1,05	1,25
alba		1,53	1	3,13	1,07	1
albanesa		1,25	1,33	1,94	1,05	1,1
albañil		1,43	1,33	1,73	1,23	1,43
albaricoque		1	1,2	2,6	1,1	1,5
albedrío		1,33	1,68	2,28	1,33	1,16
albergar		1,6	1,45	1,95	1,32	1,15
albergue		1,53	1,73	2,9	1,37	1,87
albina		1,58	1,65	1,65	1,11	1,05
albornoz		1,15	1	2,15	1,1	1,1
alboroto		1,47	2,4	1,5	2,95	2,2
albufera		1,12	1,23	1,64	1,17	1,33
álbum		1,85	1,1	2,9	1	1
alcachofa		1,25	1,05	1,7	1,45	2,25
alcaide		1,82	1,44	1,43	1,71	1,47
alcalde		1,1	1,1	1,65	1,8	1,75
alcaldesa		1,43	1,23	1,43	2,13	1,93
alcaldía		1,5	1,45	1,6	2	2,06
alcance		1,15	1,2	2,5	1,2	1,05
alcantarillado		1,4	1,63	1,35	1,7	3,45
alcanzar		1,1	1,05	3,2	1,3	1,2
alcayata		1,13	1,29	1,36	1,06	1,69
alcázar		1,06	1,35	2	1	1,6
alce		1,18	2,21	2,39	1,11	1,14
alcoba		1,35	1,16	1,95	1,06	1,56
alcohol		2,25	2,35	3,1	1,8	2,75
alcohólica		3,65	2,85	1,35	2,45	2,8
alcohólico		3,9	2,63	1,27	2,63	2,47
alcoholismo		3,75	3,45	1,45	3,75	3,05
alcornoque		1,06	1,05	2,05	1,19	1,28
aldea		1,3	1,6	2,15	1,15	1,05
aleación		1	1,06	1,63	1,2	1,24
aleatorio		1,4	1,55	2,2	1,6	1,2
alegación		1,58	1,47	1,29	1,44	1,37
alegar		1,4	1,37	2,05	1,5	1,25
alegato		1,79	1,45	1,94	1,39	1,88
alegoría		1,33	1,32	1,78	1,18	1,11
alegórica		1,6	1	2,18	1,27	1,2
alegra		1,2	1,05	3,83	1	1
alegrar		1,07	1,43	4,73	1,03	1
alegre		1,1	1,23	4,83	1,1	1,03
alegría		1	1,23	4,77	1	1,13
alegro		1,1	1,06	3,55	1,25	1,11
alejamiento		3,25	2,7	1,4	2,05	1,85
alejar		3,15	2,4	1,5	1,8	1,2
alelí		1,36	1	2,15	1,06	1,25
alemán		1,4	1,1	2,15	1,2	1
alentador		1,4	1,73	3,73	1,27	1,23
alentar		1,37	1,65	2,6	1,42	1,37
alergia		2	2	2,43	1,89	2,21
alero		1	1,5	1,43	1,07	1,5
alerta		1,5	3	1,4	1,57	1,33
alertar		2,1	2,3	1,3	1,8	1,25
aleta		1,1	1,65	1,8	1,1	1,45
aletas		1,05	1,05	1,95	1,21	1,53
aleteo		1,1	1,26	2,3	1,25	1,45
alfa		1,21	1,05	2,32	1,3	1,26
alfabético		1,2	1,05	1,75	1,2	1,21
alfabetización		1,45	1,2	3,15	1,35	1
alfabeto		1	1	2,15	1,2	1,15
alfalfa		1,11	1,11	2,14	1,37	1,86
alfarería		1,12	1,15	1,68	1,06	1,15
alfarero		1,13	1,06	1,47	1	1,18
alférez		1,46	1,3	1,31	2,13	1,36
alfil		1,69	1,28	1,76	1,33	1,05
alfiler		1,6	2,53	1,5	1,53	1,3
alfombra		1,3	1,13	1,6	1,2	2,03
alga		1,16	1,7	1,65	1,65	2,7
algarabía		1,75	1,54	1,91	1,75	1,7
algarrobo		1,58	1,15	1,58	1,19	1,64
álgebra		1,4	1,85	1,75	1,75	2,1
algebraica		1,45	1,4	1,45	2	1,53
álgido		1,69	1,53	1,41	1,45	1,54
algo		1,55	1,4	2,05	1,3	1,3
algodón		1	1,05	2,3	1	1,1
algoritmo		1,16	1,5	1,45	2,05	2,06
alguacil		1,33	1,89	1,47	1,44	1,72
